ID_SEC;ID_PRO;QTD_PRO
1;6092;0
1;6094;0
1;6096;0
1;6098;0
1;6103;0
1;6106;0
1;6107;0
1;6110;0
1;6111;0
1;6152;0
1;6153;0
1;6155;0
1;6160;0
1;6161;0
1;6162;0
1;6163;0
1;6206;0
1;6215;0
1;6218;0
1;6225;0
1;6226;0
1;6227;0
1;6228;0
1;6276;0
1;6277;0
1;6278;0
1;6279;0
1;6341;0
1;6342;0
1;6343;0
1;6344;0
1;6345;0
1;6353;0
1;6354;0
1;6355;0
1;6356;0
1;6358;0
1;6359;0
1;6360;0
1;6361;0
1;6362;0
1;6364;0
1;6365;0
1;6366;0
1;6367;0
1;6368;0
1;6369;0
1;6370;0
1;6371;0
1;6372;0
1;6373;0
1;6375;0
1;6382;0
1;6386;0
1;6394;0
1;6395;0
1;6396;0
1;6397;0
1;6398;0
1;6399;0
1;6400;0
1;6401;0
1;6402;0
1;6403;0
1;6405;0
1;6407;0
1;6408;0
1;6409;0
1;6410;0
1;6412;0
1;6439;0
1;6472;0
1;6541;0
1;6542;0
1;6544;0
1;6552;0
1;6562;0
1;6631;0
1;6658;0
1;6659;0
1;6660;0
1;6662;0
1;6664;0
1;6665;0
1;6666;0
1;6667;0
1;6671;0
1;6686;0
1;6710;0
1;6725;0
1;6727;0
1;6733;0
1;6735;0
1;6742;0
1;6743;0
1;6744;0
1;6745;0
1;6746;0
1;6747;0
1;6758;0
1;6818;0
1;6819;0
1;6820;0
1;6821;0
1;6828;0
1;6829;0
1;6843;0
1;6844;0
1;6846;0
1;6848;0
1;6849;0
1;6850;0
1;6875;0
1;6877;0
1;6878;0
1;6879;0
1;6899;0
1;6901;0
1;6902;0
1;6904;0
1;6905;0
1;6906;0
1;6908;0
1;6909;0
1;6910;0
1;6912;0
1;6913;0
1;6936;0
1;6945;0
1;6977;0
1;6978;0
1;6979;0
1;6980;0
1;6981;0
1;6982;0
1;6983;0
1;6984;0
1;6986;0
1;6987;0
1;6988;0
1;6989;0
1;6991;0
1;6992;0
1;6993;0
1;6994;0
1;6995;0
1;6996;0
1;6997;0
1;6998;0
1;6999;0
1;7000;0
1;7001;0
1;7002;0
1;7003;0
1;7004;0
1;7038;0
1;7080;0
1;7081;0
1;7082;0
1;7083;0
1;7087;0
1;7088;0
1;7089;0
1;7090;0
