NUM_ITEM;ID_PRO;ID_REQ;ID_SEC;QTD_PRO;PRE_UNIT;TOTAL_ITEM;TOTAL_REAL
1;1909;2721;3;300;5,37;1611;1611
1;1967;2156;3;10;24,6;246;246
1;1979;2717;3;100;0,75;75;75
1;2059;2422;3;912;2,95;2690,4;2690,4
1;2059;2486;3;901;2,95;2657,95;2657,95
1;2059;2576;3;912;2,95;2690,4;2690,4
1;2059;2613;3;520;2,95;1534;1534
1;2059;2710;3;50;3,29;164,5;164,5
1;2059;2713;3;150;3,29;493,5;493,5
1;2059;2851;3;1210;3,35;4053,5;4053,5
1;2059;2880;3;1190;3,35;3986,5;3986,5
1;2138;2084;3;1;45;45;45
1;2138;2889;3;1;75;75;75
1;2172;2490;3;100;5,59;559;559
1;2172;2492;3;120;5,59;670,8;670,8
1;2172;2726;3;200;2,9;580;580
1;2229;2287;1;1;446922,23;446922,23;446922,23
1;2229;2288;1;1;50944,24;50944,24;50944,24
1;2229;2300;1;1;36775,87;36775,87;36775,87
1;2229;2305;1;1;459;459;459
1;2229;2323;1;1;53620,89;53620,89;53620,89
1;2229;2346;1;1;68427,19;68427,19;68427,19
1;2229;2351;1;1;15080,55;15080,55;15080,55
1;2229;2363;1;1;40629,57;40629,57;40629,57
1;2229;2373;1;1;45054,76;45054,76;45054,76
1;2229;2390;3;1;49579,25;49579,25;49579,25
1;2229;2393;3;1;450;450;450
1;2229;2426;3;1;43802,43;43802,43;43802,43
1;2229;2455;3;1;19650,93;19650,93;19650,93
1;2229;2456;6;1;12788,39;12788,39;12788,39
1;2229;2457;4;1;2488,2;2488,2;2488,2
1;2229;2458;1;1;5390,56;5390,56;5390,56
1;2229;2477;6;1;15985,5;15985,5;15985,5
1;2229;2478;1;1;7364,89;7364,89;7364,89
1;2229;2479;3;1;25509,16;25509,16;25509,16
1;2229;2507;3;1;25620,93;25620,93;25620,93
1;2229;2508;1;1;3942,03;3942,03;3942,03
1;2229;2509;6;1;15984,17;15984,17;15984,17
1;2229;2531;1;1;6998,66;6998,66;6998,66
1;2229;2538;6;1;16950,44;16950,44;16950,44
1;2229;2543;3;1;19433,46;19433,46;19433,46
1;2229;2566;1;1;8933,6;8933,6;8933,6
1;2229;2567;6;1;17389,77;17389,77;17389,77
1;2229;2568;3;1;32241,91;32241,91;32241,91
1;2229;2588;1;1;6903,37;6903,37;6903,37
1;2229;2589;6;1;9259,14;9259,14;9259,14
1;2229;2590;3;1;30030,5;30030,5;30030,5
1;2229;2620;3;1;23426,08;23426,08;23426,08
1;2229;2621;6;1;15440,56;15440,56;15440,56
1;2229;2622;1;1;9367,41;9367,41;9367,41
1;2229;2625;1;1;6428,58;6428,58;6428,58
1;2229;2636;3;1;13647,25;13647,25;13647,25
1;2229;2637;6;1;3791,64;3791,64;3791,64
1;2229;2647;3;1;16556,59;16556,59;16556,59
1;2229;2665;6;1;17465,73;17465,73;17465,73
1;2229;2666;1;1;8575,33;8575,33;8575,33
1;2229;2675;1;1;9995,69;9995,69;9995,69
1;2229;2676;3;1;27453,21;27453,21;27453,21
1;2229;2677;4;1;3444,14;3444,14;3444,14
1;2229;2678;6;1;20403,47;20403,47;20403,47
1;2229;2698;3;1;23943,7;23943,7;23943,7
1;2229;2699;1;1;6430,62;6430,62;6430,62
1;2229;2700;6;1;7000;7000;7000
1;2229;2701;5;1;6000;6000;6000
1;2229;2702;6;1;7880;7880;7880
1;2229;2703;3;1;1920;1920;1920
1;2229;2722;1;1;8764,17;8764,17;8764,17
1;2229;2723;3;1;29308,19;29308,19;29308,19
1;2229;2724;6;1;17592,21;17592,21;17592,21
1;2229;2725;4;1;3089,78;3089,78;3089,78
1;2229;2742;1;1;65043,02;65043,02;65043,02
1;2229;2765;3;1;23687;23687;23687
1;2229;2766;1;1;7228,16;7228,16;7228,16
1;2229;2767;4;1;3287;3287;3287
1;2229;2768;6;1;19408,49;19408,49;19408,49
1;2229;2782;3;1;28250,15;28250,15;28250,15
1;2229;2783;4;1;2212,25;2212,25;2212,25
1;2229;2784;1;1;7355,28;7355,28;7355,28
1;2229;2785;6;1;20815,31;20815,31;20815,31
1;2229;2815;1;1;13661,09;13661,09;13661,09
1;2229;2816;6;1;20579,72;20579,72;20579,72
1;2229;2817;4;1;3448,26;3448,26;3448,26
1;2229;2818;3;1;39008,16;39008,16;39008,16
1;2229;2835;1;1;6286,18;6286,18;6286,18
1;2229;2836;4;1;2845,7;2845,7;2845,7
1;2229;2837;3;1;26554,41;26554,41;26554,41
1;2229;2838;6;1;20782,67;20782,67;20782,67
1;2229;2861;3;1;33435,72;33435,72;33435,72
1;2229;2862;1;1;9361,26;9361,26;9361,26
1;2229;2863;4;1;3327,09;3327,09;3327,09
1;2229;2864;6;1;15406,6;15406,6;15406,6
1;2229;2891;4;1;7651,43;7651,43;7651,43
1;2229;2892;3;1;29550,7;29550,7;29550,7
1;2229;2893;4;1;898,11;898,11;898,11
1;2229;2894;1;1;7651,43;7651,43;7651,43
1;2229;2895;6;1;21804,48;21804,48;21804,48
1;2234;1990;3;1;280;280;280
1;2241;2451;4;1;258;258;258
1;2252;2462;3;2;238;476;476
1;2252;2689;3;1;238;238;238
1;2305;2633;3;80;18,81;1504,8;1504,8
1;2305;2797;3;40;19,9;796;796
1;2314;2560;6;8;72;576;576
1;2374;2203;6;20;26;520;520
1;2467;2489;3;400;2,69;1076;1076
1;2467;2803;3;50;5,99;299,5;299,5
1;2483;2659;6;1;100;100;100
1;2492;2487;3;20;3;60;60
1;2492;2522;3;20;3;60;60
1;2573;1178;4;0,87;1,35;1,1745;1,1745
1;2573;1180;3;0,82;1,5;1,23;1,23
1;2573;1181;4;129;1,35;174,15;174,15
1;2574;1179;4;0,8;1,35;1,08;1,08
1;2648;2252;3;1;270;270;270
1;2727;2875;3;5;15;75;75
1;2867;2639;1;100;8,7;870;870
1;2867;2662;4;80;8,7;696;696
1;2867;2883;1;100;9,9;990;990
1;2870;2646;3;15;27;405;405
1;2895;2557;6;30;68,9;2067;2067
1;3012;2165;6;1;11;11;11
1;3037;1182;4;8;140;1120;1120
1;3037;1199;4;0,001;140;0,14;0,14
1;3037;2528;3;20;145;2900;2900
1;3037;2638;1;5;159;795;795
1;3037;2645;3;10;160;1600;1600
1;3037;2844;1;1;219;219;219
1;3178;2551;3;300;5,59;1677;1677
1;3196;2130;3;100;10;1000;1000
1;3196;2318;3;40;18;720;720
1;3225;2266;3;2;5,5;11;11
1;3238;1957;3;5;5,2;26;26
1;3257;1960;6;1;280;280;280
1;3257;2586;4;1;300;300;300
1;3257;2652;6;1;420;420;420
1;3272;2464;3;2;130;260;260
1;3280;2291;1;60;1,6;96;96
1;3365;2556;3;1;34;34;34
1;3373;2164;1;40;2,99;119,6;119,6
1;3375;2184;3;100;1,6;160;160
1;3375;2185;3;20;1,6;32;32
1;3375;2283;3;65;1,6;104;104
1;3375;2284;3;85;1,6;136;136
1;3375;2285;3;80;1,6;128;128
1;3375;2301;3;95;1,6;152;152
1;3375;2302;3;130;1,6;208;208
1;3375;2303;3;105;1,6;168;168
1;3375;2500;3;100;1,69;169;169
1;3375;2501;3;100;1,69;169;169
1;3375;2502;3;25;1,69;42,25;42,25
1;3375;2539;3;88;1,69;148,72;148,72
1;3375;2540;3;10;1,69;16,9;16,9
1;3375;2541;3;89;1,69;150,41;150,41
