ID_GRU;NOME_GRU;ID_SUB_GRU;NOME_SUB_GRU;ID_CLA;NOME_CLA;ID_SEC;NOME_SEC;UNI_MED;ID_PRO;DESCRICAO_PRO;SALDO_ANTERIOR;SALDO_ANT_CUSTO;ENTRADA_QTD;ENTRADA_VL_UNIT;SAIDA_QTD;SAIDA_CM;SALDO_QTD;SALDO_CM
29;ALIMENTOS;89;ALIMENTOS DIVERSOS;254;ALIMENTAÇAO;1;ADMINISTRAÇAO E FINANCAS;un;3284;MARGARINA  500 GR;0;0;0;0;0;0;0;0
29;ALIMENTOS;89;ALIMENTOS DIVERSOS;254;ALIMENTAÇAO;1;ADMINISTRAÇAO E FINANCAS;un;3373;BISCOITO SALGADO CREAM CRACKER;0;0;0;0;0;0;0;0
29;ALIMENTOS;89;ALIMENTOS DIVERSOS;254;ALIMENTAÇAO;1;ADMINISTRAÇAO E FINANCAS;un;3529;PAPEL HIG C 4;0;0;0;0;0;0;0;0
27;MATERIAL DE CONSUMO;87;MATERIAL DE CONSUMO IMEDIATO;253;CONSUMO;1;ADMINISTRAÇAO E FINANCAS;un;3549;SABAO EM PO;0;0;0;0;0;0;0;0
27;MATERIAL DE CONSUMO;87;MATERIAL DE CONSUMO IMEDIATO;253;CONSUMO;1;ADMINISTRAÇAO E FINANCAS;un;3550;SABAO EM PO;0;0;0;0;0;0;0;0
29;ALIMENTOS;89;ALIMENTOS DIVERSOS;254;ALIMENTAÇAO;1;ADMINISTRAÇAO E FINANCAS;un;3573;LEITE EM PO;0;0;0;0;0;0;0;0
29;ALIMENTOS;89;ALIMENTOS DIVERSOS;254;ALIMENTAÇAO;1;ADMINISTRAÇAO E FINANCAS;un;3574;ACUCAR CRISTAL;0;0;0;0;0;0;0;0
1;PMATERIAL DE EXPEDIENTE;100;MATERIAIS EXPEDIENTE;271;MATERIAIS DE EXPEDIENTE;1;ADMINISTRAÇAO E FINANCAS;un;3593;PASTA DUPLO OFICIO TIMBRADA;0;0;0;0;0;0;0;0
27;MATERIAL DE CONSUMO;87;MATERIAL DE CONSUMO IMEDIATO;253;CONSUMO;1;ADMINISTRAÇAO E FINANCAS;un;3634;PALITO MADEIRA;0;0;0;0;0;0;0;0
27;MATERIAL DE CONSUMO;87;MATERIAL DE CONSUMO IMEDIATO;253;CONSUMO;1;ADMINISTRAÇAO E FINANCAS;un;3637;SACO LIXO;0;0;0;0;0;0;0;0
29;ALIMENTOS;89;ALIMENTOS DIVERSOS;254;ALIMENTAÇAO;1;ADMINISTRAÇAO E FINANCAS;un;3727;BISCOITO DOCE;0;0;0;0;0;0;0;0
29;ALIMENTOS;89;ALIMENTOS DIVERSOS;254;ALIMENTAÇAO;1;ADMINISTRAÇAO E FINANCAS;un;3730;CAFE MOIDO;0;0;0;0;0;0;0;0
29;ALIMENTOS;89;ALIMENTOS DIVERSOS;254;ALIMENTAÇAO;1;ADMINISTRAÇAO E FINANCAS;un;3732;AGUA MINERAL 20 L;0;0;46;368;46;368;0;0
29;ALIMENTOS;89;ALIMENTOS DIVERSOS;254;ALIMENTAÇAO;1;ADMINISTRAÇAO E FINANCAS;un;3817;BISCOITO DOCE,;0;0;0;0;0;0;0;0
29;ALIMENTOS;89;ALIMENTOS DIVERSOS;254;ALIMENTAÇAO;1;ADMINISTRAÇAO E FINANCAS;un;4107;COPO DESCART 180ML;0;0;0;0;0;0;0;0
29;ALIMENTOS;89;ALIMENTOS DIVERSOS;254;ALIMENTAÇAO;1;ADMINISTRAÇAO E FINANCAS;un;4108;BISCOITO 400G;0;0;0;0;0;0;0;0
29;ALIMENTOS;89;ALIMENTOS DIVERSOS;254;ALIMENTAÇAO;1;ADMINISTRAÇAO E FINANCAS;un;4119;LEITE EM PÓ 200G;0;0;0;0;0;0;0;0
29;ALIMENTOS;89;ALIMENTOS DIVERSOS;254;ALIMENTAÇAO;1;ADMINISTRAÇAO E FINANCAS;un;4126;AÇUCAR;0;0;0;0;0;0;0;0
1;PMATERIAL DE EXPEDIENTE;100;MATERIAIS EXPEDIENTE;271;MATERIAIS DE EXPEDIENTE;1;ADMINISTRAÇAO E FINANCAS;un;4143;PAPEL A4 COPIMAX RESMA;0;0;0;0;0;0;0;0
27;MATERIAL DE CONSUMO;87;MATERIAL DE CONSUMO IMEDIATO;253;CONSUMO;1;ADMINISTRAÇAO E FINANCAS;un;4197;BOM AR LAVANDA 400ML;0;0;0;0;0;0;0;0
1;PMATERIAL DE EXPEDIENTE;100;MATERIAIS EXPEDIENTE;271;MATERIAIS DE EXPEDIENTE;1;ADMINISTRAÇAO E FINANCAS;un;4236;RESMA DE PAPEL C/ 500;0;0;0;0;0;0;0;0
1;PMATERIAL DE EXPEDIENTE;6;PAPÉIS E ENVELOPES;22;PAPEL OFÍCIO;1;ADMINISTRAÇAO E FINANCAS;un;4241;PAPEL A4;0;0;0;0;0;0;0;0
7;MATERIAL DE COPA E COZINHA;75;MATERIAL DE COZINHA;289;MATERIAL PARA COZINHA;1;ADMINISTRAÇAO E FINANCAS;un;4451;BOM AR;0;0;0;0;0;0;0;0
31;MATERIAL DE LIMPEZA;93;MATERIAL DE LIMPEZA;261;MATERIAL DE LIMPEZA;1;ADMINISTRAÇAO E FINANCAS;un;4515;PAPEL HIGIÊNICO;0;0;0;0;0;0;0;0
8;GÁS ENGARRAFADO;23;GÁS DE COZINHA;248;23 GAS DE COZINHA GLP - 13 KG;1;ADMINISTRAÇAO E FINANCAS;un;4612;BOTIJÃO;0;0;0;0;0;0;0;0
27;MATERIAL DE CONSUMO;87;MATERIAL DE CONSUMO IMEDIATO;253;CONSUMO;1;ADMINISTRAÇAO E FINANCAS;un;4647;BISCOITO SALGADO;0;0;0;0;0;0;0;0
29;ALIMENTOS;89;ALIMENTOS DIVERSOS;254;ALIMENTAÇAO;1;ADMINISTRAÇAO E FINANCAS;un;4815;AÇUCAR GRANULADO PCT C/ 1KG;0;0;0;0;0;0;0;0
36;MATERIAL CONSTRUCAO;102;MATERIAIS DE CONSTRUÇÃO;273;MATERIAIS PARA CONSTRUÇÃO;1;ADMINISTRAÇAO E FINANCAS;un;4913;DIALINE BRANCO NEVE;0;0;0;0;0;0;0;0
29;ALIMENTOS;89;ALIMENTOS DIVERSOS;254;ALIMENTAÇAO;1;ADMINISTRAÇAO E FINANCAS;un;5001;AÇUCAR;0;0;0;0;0;0;0;0
31;MATERIAL DE LIMPEZA;93;MATERIAL DE LIMPEZA;261;MATERIAL DE LIMPEZA;1;ADMINISTRAÇAO E FINANCAS;un;5014;RODO;0;0;0;0;0;0;0;0
31;MATERIAL DE LIMPEZA;93;MATERIAL DE LIMPEZA;261;MATERIAL DE LIMPEZA;1;ADMINISTRAÇAO E FINANCAS;un;5021;DETERGENTE;0;0;0;0;0;0;0;0
31;MATERIAL DE LIMPEZA;93;MATERIAL DE LIMPEZA;261;MATERIAL DE LIMPEZA;1;ADMINISTRAÇAO E FINANCAS;un;5022;SABONETE;0;0;0;0;0;0;0;0
27;MATERIAL DE CONSUMO;87;MATERIAL DE CONSUMO IMEDIATO;253;CONSUMO;1;ADMINISTRAÇAO E FINANCAS;un;5039;PAPEL A4;0;0;0;0;0;0;0;0
3;MATERIAL DE LIMPEZA E HIGIENIZAÇÃO;22;PAPEL E SACOS PLÁTICOS;98;SACO PARA LIXO;1;ADMINISTRAÇAO E FINANCAS;un;5040;SACO DE LIXO 100 L;0;0;0;0;0;0;0;0
30;MATERIAL DIDATICO;92;MATERIAL DIDATICO;260;MATERIAL DIDATICO;1;ADMINISTRAÇAO E FINANCAS;un;5247;CLIPS P/ PAPEIS 3/0;0;0;0;0;0;0;0;0
30;MATERIAL DIDATICO;92;MATERIAL DIDATICO;260;MATERIAL DIDATICO;1;ADMINISTRAÇAO E FINANCAS;un;5273;PASTA CLASSIF. C/ ELASTICO;0;0;0;0;0;0;0;0
29;ALIMENTOS;89;ALIMENTOS DIVERSOS;254;ALIMENTAÇAO;1;ADMINISTRAÇAO E FINANCAS;un;5295;OVOS DE GALINHA;0;0;0;0;0;0;0;0
29;ALIMENTOS;89;ALIMENTOS DIVERSOS;254;ALIMENTAÇAO;1;ADMINISTRAÇAO E FINANCAS;un;5303;BISCOITO CREAM CRAKER;0;0;0;0;0;0;0;0
31;MATERIAL DE LIMPEZA;93;MATERIAL DE LIMPEZA;261;MATERIAL DE LIMPEZA;1;ADMINISTRAÇAO E FINANCAS;un;5381;COPO DESCARTÁVEL;0;0;0;0;0;0;0;0
31;MATERIAL DE LIMPEZA;93;MATERIAL DE LIMPEZA;261;MATERIAL DE LIMPEZA;1;ADMINISTRAÇAO E FINANCAS;un;5401;SABONETE 90 G;0;0;0;0;0;0;0;0
31;MATERIAL DE LIMPEZA;93;MATERIAL DE LIMPEZA;261;MATERIAL DE LIMPEZA;1;ADMINISTRAÇAO E FINANCAS;un;5408;DISJUNTOR UNIPOLAR DQ 20A;0;0;0;0;0;0;0;0
31;MATERIAL DE LIMPEZA;93;MATERIAL DE LIMPEZA;261;MATERIAL DE LIMPEZA;1;ADMINISTRAÇAO E FINANCAS;un;5442;TOALHA DE ROSTO;0;0;0;0;0;0;0;0
1;PMATERIAL DE EXPEDIENTE;2;GRAMPOS, PERCEVEJOS, COLCHETES E CLIPS;3;GRAMPOS E CLIPS;1;ADMINISTRAÇAO E FINANCAS;cx;5443;CLIPS P/ PAPEIS 6/0;0;0;0;0;0;0;0;0
1;PMATERIAL DE EXPEDIENTE;100;MATERIAIS EXPEDIENTE;271;MATERIAIS DE EXPEDIENTE;1;ADMINISTRAÇAO E FINANCAS;un;5463;CLIPS 6/0;0;0;0;0;0;0;0;0
29;ALIMENTOS;89;ALIMENTOS DIVERSOS;254;ALIMENTAÇAO;1;ADMINISTRAÇAO E FINANCAS;un;5575;CAFE 250 GR;0;0;0;0;0;0;0;0
29;ALIMENTOS;89;ALIMENTOS DIVERSOS;254;ALIMENTAÇAO;1;ADMINISTRAÇAO E FINANCAS;un;5576;AÇUCAR;0;0;0;0;0;0;0;0
29;ALIMENTOS;89;ALIMENTOS DIVERSOS;254;ALIMENTAÇAO;1;ADMINISTRAÇAO E FINANCAS;un;5577;AGUA MINERAL 20 LT;0;0;0;0;0;0;0;0
27;MATERIAL DE CONSUMO;87;MATERIAL DE CONSUMO IMEDIATO;253;CONSUMO;1;ADMINISTRAÇAO E FINANCAS;un;5578;COPOS DESCARTAVEIS 180 ML;0;0;0;0;0;0;0;0
30;MATERIAL DIDATICO;92;MATERIAL DIDATICO;260;MATERIAL DIDATICO;1;ADMINISTRAÇAO E FINANCAS;un;5619;PASTA SUPENSA;0;0;0;0;0;0;0;0
30;MATERIAL DIDATICO;92;MATERIAL DIDATICO;260;MATERIAL DIDATICO;1;ADMINISTRAÇAO E FINANCAS;un;5629;REGISTRADOR AZ;0;0;0;0;0;0;0;0
29;ALIMENTOS;89;ALIMENTOS DIVERSOS;254;ALIMENTAÇAO;1;ADMINISTRAÇAO E FINANCAS;un;5647;BISCOITO SALGADO /DOCCE;0;0;0;0;0;0;0;0
19;MATERIAL PARA FESTIVIDADES E HOMENAGENS;68;ACESSÓRIOS PARA FESTIVIDADES;298;FOGOS DE ARTIFICIOS;1;ADMINISTRAÇAO E FINANCAS;un;5673;GIRANDOLA MINI SHOW;0;0;0;0;0;0;0;0
29;ALIMENTOS;89;ALIMENTOS DIVERSOS;254;ALIMENTAÇAO;1;ADMINISTRAÇAO E FINANCAS;kg;5709;TOMATE KGG;0;0;0;0;0;0;0;0
29;ALIMENTOS;89;ALIMENTOS DIVERSOS;254;ALIMENTAÇAO;1;ADMINISTRAÇAO E FINANCAS;un;5711;BATATA INGLESA;0;0;0;0;0;0;0;0
29;ALIMENTOS;89;ALIMENTOS DIVERSOS;254;ALIMENTAÇAO;1;ADMINISTRAÇAO E FINANCAS;un;5712;BISC. CREAM CRACKER;0;0;0;0;0;0;0;0
1;PMATERIAL DE EXPEDIENTE;100;MATERIAIS EXPEDIENTE;271;MATERIAIS DE EXPEDIENTE;1;ADMINISTRAÇAO E FINANCAS;cx;5721;FORMULARIO CONTINUO COM BLOQUEIO;0;0;0;0;0;0;0;0
1;PMATERIAL DE EXPEDIENTE;100;MATERIAIS EXPEDIENTE;271;MATERIAIS DE EXPEDIENTE;1;ADMINISTRAÇAO E FINANCAS;un;5722;FORMULARIO 80 COL 1 VIA;0;0;0;0;0;0;0;0
33;INFORMATICA;97;INFORMATICA;268;INFORMATICA;1;ADMINISTRAÇAO E FINANCAS;un;5724;TECL. MULT PS2 C2822;0;0;0;0;0;0;0;0
33;INFORMATICA;97;INFORMATICA;268;INFORMATICA;1;ADMINISTRAÇAO E FINANCAS;un;5725;MOUSE OPTICO PS2 C2228;0;0;0;0;0;0;0;0
33;INFORMATICA;97;INFORMATICA;268;INFORMATICA;1;ADMINISTRAÇAO E FINANCAS;un;5726;CX SOM 0.180W C2228;0;0;0;0;0;0;0;0
33;INFORMATICA;97;INFORMATICA;268;INFORMATICA;1;ADMINISTRAÇAO E FINANCAS;un;5727;EXAUSTOR GAB. 80X80X25;0;0;0;0;0;0;0;0
33;INFORMATICA;97;INFORMATICA;268;INFORMATICA;1;ADMINISTRAÇAO E FINANCAS;un;5728;CABO SATA INTERNO DE DADOS;0;0;0;0;0;0;0;0
33;INFORMATICA;97;INFORMATICA;268;INFORMATICA;1;ADMINISTRAÇAO E FINANCAS;un;5729;PLC MAE P5 MEGA 775;0;0;0;0;0;0;0;0
33;INFORMATICA;97;INFORMATICA;268;INFORMATICA;1;ADMINISTRAÇAO E FINANCAS;un;5730;CPU CL D430;0;0;0;0;0;0;0;0
33;INFORMATICA;97;INFORMATICA;268;INFORMATICA;1;ADMINISTRAÇAO E FINANCAS;un;5731;MEM. 001GB/800 DDR2 KINGSTON;0;0;0;0;0;0;0;0
33;INFORMATICA;97;INFORMATICA;268;INFORMATICA;1;ADMINISTRAÇAO E FINANCAS;un;5732;DISCO RIGIDO320 GB 7200 RPM SATA;0;0;0;0;0;0;0;0
